state,elderly_mode,school_mode,mask,ILIp,pca_1,date,resid_av7,unweighted_ili,Hospitalization_weeklysum,Hospitalization_weeklyave,Hospitalization_weeklysum_pop
AK,2.0,3.0,0.3524,0.0,-51.53118471838171,2020-04-12,15.4285714285714,1.32181,,,
AL,3.0,3.0,0.3445,5.169e-05,-36.06160506360187,2020-04-12,15.2857142857143,2.0676,,,
AR,3.0,3.0,0.408,0.0,-24.53514397397184,2020-04-12,12.0,0.499376,,,
AZ,1.0,3.0,0.3251,0.00013573413,-47.82959905423856,2020-04-12,16.2857142857143,2.15451,,,
CA,3.0,3.0,0.5591,0.0,-65.95780445044018,2020-04-12,21.71428571428569,1.55867,,,
CO,3.0,3.0,0.4479999999999999,4.378914000000001e-05,-68.22088982759477,2020-04-12,20.1428571428571,1.62182,,,
CT,3.0,3.0,0.4244,0.00016267125,-67.35962086318465,2020-04-12,21.4285714285714,4.64775,,,
DE,2.0,3.0,0.5129,0.0,-61.87136032711035,2020-04-12,19.2857142857143,0.0,,,
GA,3.0,3.0,0.384,0.00019973638,-56.07432528147164,2020-04-12,17.8571428571429,2.9811400000000003,,,
HI,2.0,3.0,0.4925,0.000749097002,-83.88221308010877,2020-04-12,22.142857142857103,0.555298,,,
IA,2.0,3.0,0.2969,7.3863647e-05,-33.61122889390679,2020-04-12,16.1428571428571,0.437063,,,
ID,3.0,3.0,0.2143,0.0,-33.726184236725715,2020-04-12,13.7142857142857,4.18042,,,
IL,1.0,3.0,0.6759,0.0,-60.52950414674436,2020-04-12,19.8571428571429,2.39922,,,
IN,1.0,3.0,0.5165,9.494836e-06,-38.27915284483368,2020-04-12,17.571428571428598,0.365186,,,
KS,3.0,3.0,0.3182,0.00033410475,-33.98386612688498,2020-04-12,16.0,1.76775,,,
KY,3.0,3.0,0.3114,0.0,-39.7053293663006,2020-04-12,16.0,1.01977,,,
LA,3.0,3.0,0.3658,0.0,-51.37129981311117,2020-04-12,17.0,4.259869999999999,,,
MA,3.0,3.0,0.4122,9.30065e-05,-82.95218844931571,2020-04-12,23.285714285714302,3.72026,,,
MD,3.0,3.0,0.5036,0.0,-65.58902232774687,2020-04-12,22.71428571428569,3.71282,,,
ME,1.0,3.0,0.3213,0.0,-59.81505952266642,2020-04-12,15.4285714285714,0.912365,,,
MI,2.0,3.0,0.5216,2.9151119e-05,-72.79953800174606,2020-04-12,23.0,0.677933,,,
MN,2.0,3.0,0.4094,0.0,-66.74125385528798,2020-04-12,20.7142857142857,1.25899,,,
MO,2.0,3.0,0.3279999999999999,4.418265e-05,-40.08310392910053,2020-04-12,15.857142857142902,0.589102,,,
MS,3.0,3.0,0.1943,0.0,-32.080864568610174,2020-04-12,14.857142857142902,2.5065,,,
MT,3.0,3.0,0.2644,0.0,-44.82310401659901,2020-04-12,14.7142857142857,1.10488,,,
NC,2.0,3.0,0.4249,0.0,-51.83348055233464,2020-04-12,16.2857142857143,1.28345,,,
ND,3.0,3.0,0.2588,9.462028e-05,-44.50090301523379,2020-04-12,17.7142857142857,1.33268,,,
NE,1.0,3.0,0.3106,0.0,-30.42410022913068,2020-04-12,16.0,1.83824,,,
NH,3.0,3.0,0.3615,6.6989216765e-05,-61.17336779376829,2020-04-12,19.5714285714286,0.513347,,,
NJ,3.0,3.0,0.6045,0.000111960539424,-86.32344836872818,2020-04-12,25.857142857142897,8.08356,,,
NM,2.0,3.0,0.4158,0.0,-41.223081892908695,2020-04-12,17.0,1.99779,,,
NV,2.0,3.0,0.371,0.00025204881377,-64.15383811816099,2020-04-12,19.4285714285714,0.863447,,,
NY,3.0,3.0,0.624,0.0,-87.5264684047155,2020-04-12,25.142857142857103,3.30446,,,
OH,3.0,3.0,0.3059,2.647449e-05,-42.45202437961896,2020-04-12,18.1428571428571,0.882483,,,
OK,3.0,3.0,0.3384,0.0002784771,-27.424239640506396,2020-04-12,15.2857142857143,3.09419,,,
OR,3.0,3.0,0.3383,0.0,-47.26492166226296,2020-04-12,15.2857142857143,1.6121299999999998,,,
PA,3.0,3.0,0.5274,0.0,-66.39260265639874,2020-04-12,20.2857142857143,2.03685,,,
RI,3.0,3.0,0.4097,0.0,-72.07249165263244,2020-04-12,20.2857142857143,0.0,,,
SC,3.0,2.0,0.285,0.0,-41.27638358764282,2020-04-12,15.2857142857143,2.84895,,,
SD,1.0,3.0,0.2167,0.0,-37.6402909928832,2020-04-12,16.8571428571429,0.581745,,,
TN,3.0,3.0,0.2478,0.0,-39.50124474266476,2020-04-12,15.4285714285714,1.89817,,,
TX,3.0,3.0,0.4674,9.939842e-05,-51.96057613305077,2020-04-12,19.2857142857143,2.11486,,,
UT,1.0,3.0,0.31,0.0,-48.86301416532785,2020-04-12,17.0,1.34286,,,
VA,1.0,3.0,0.3707,0.0002075624,-58.25361695738396,2020-04-12,19.1428571428571,2.59453,,,
VT,3.0,3.0,0.4128,0.00105933453,-75.923621314376,2020-04-12,20.4285714285714,1.97269,,,
WA,3.0,3.0,0.3032,0.0,-59.43659156401284,2020-04-12,18.8571428571429,1.18205,,,
WI,2.0,3.0,0.5364,0.0,-49.28717726534707,2020-04-12,18.8571428571429,3.11916,,,
WV,1.0,2.0,0.3927,0.0,-39.72075301502623,2020-04-12,14.4285714285714,0.394893,,,
WY,3.0,3.0,0.1512,0.0,-26.21644709654409,2020-04-12,14.2857142857143,1.00671,,,
AK,2.0,3.0,0.4015,0.0,-40.98329817045983,2020-04-19,14.142857142857098,1.1127200000000002,,,
AL,3.0,3.0,0.3867,4.144784e-05,-26.770483838169845,2020-04-19,14.0,1.4802799999999998,,,
AR,3.0,3.0,0.4587,0.0,-16.105589138526046,2020-04-19,11.2857142857143,0.2849,,,
AZ,1.0,3.0,0.3666,0.0,-41.654771087176016,2020-04-19,15.2857142857143,1.92398,,,
CA,3.0,3.0,0.6229,1.929765e-05,-63.9499006007164,2020-04-19,20.2857142857143,1.28651,,,
CO,3.0,3.0,0.5067,5.38461e-05,-61.79458588016215,2020-04-19,19.4285714285714,1.28205,,,
CT,3.0,3.0,0.4782,0.0,-60.75593946587732,2020-04-19,20.2857142857143,2.64583,,,
DE,2.0,3.0,0.5739,0.0,-53.63950060093176,2020-04-19,18.0,0.111607,,,
GA,3.0,3.0,0.4338,5.051288e-05,-50.17716391870434,2020-04-19,17.1428571428571,2.29604,,,
HI,2.0,3.0,0.5541,0.0,-80.25725878366615,2020-04-19,20.8571428571429,0.380771,,,
IA,2.0,3.0,0.344,0.0,-22.23293526032607,2020-04-19,14.142857142857098,0.763359,,,
ID,3.0,3.0,0.2454,0.00107668,-21.547341059692695,2020-04-19,12.142857142857098,4.306719999999999,,,
IL,1.0,3.0,0.7382,0.00035098759,-53.55844319565447,2020-04-19,18.5714285714286,2.02883,,,
IN,1.0,3.0,0.5832,2.163121e-05,-27.99169256040939,2020-04-19,16.0,0.35461,,,
KS,3.0,3.0,0.3679,0.0,-27.407593742315907,2020-04-19,15.0,1.8706,,,
KY,3.0,3.0,0.3569,3.3992e-05,-30.05036219018528,2020-04-19,14.5714285714286,1.06225,,,
LA,3.0,3.0,0.4124,0.0,-42.361183046384326,2020-04-19,15.5714285714286,3.69946,,,
MA,3.0,3.0,0.4649,3.777332e-05,-79.42641385895726,2020-04-19,23.0,2.90564,,,
MD,3.0,3.0,0.5639,0.0,-60.243548560251085,2020-04-19,21.5714285714286,3.7903,,,
ME,1.0,3.0,0.3646,0.0,-49.6991596986494,2020-04-19,15.7142857142857,0.671141,,,
MI,2.571428571428572,3.0,0.5874,1.9757248e-05,-65.02111969571826,2020-04-19,21.71428571428569,0.617414,,,
MN,2.0,3.0,0.4687,0.0,-54.51720813047003,2020-04-19,18.4285714285714,1.48632,,,
MO,2.4285714285714284,3.0,0.3738,0.0,-30.21180050072224,2020-04-19,14.5714285714286,0.135685,,,
MS,3.0,3.0,0.228,0.0,-22.18841972629033,2020-04-19,13.2857142857143,2.60903,,,
MT,3.0,3.0,0.3018,0.0,-26.69888701374274,2020-04-19,11.857142857142902,0.984176,,,
NC,2.0,3.0,0.4748,0.0,-44.15067083973378,2020-04-19,15.0,1.25513,,,
ND,3.0,3.0,0.301,0.0,-32.239316245197614,2020-04-19,15.4285714285714,1.02724,,,
NE,1.0,3.0,0.3593,0.0,-19.172549585044344,2020-04-19,15.142857142857098,1.28822,,,
NH,3.0,3.0,0.4092,1.6806739950000005e-06,-54.5140021826378,2020-04-19,18.5714285714286,0.10395,,,
NJ,3.0,3.0,0.6616,0.00010328016494,-82.40235760482179,2020-04-19,24.4285714285714,5.2673,,,
NM,2.0,3.0,0.4696,0.0,-31.24653812318625,2020-04-19,15.7142857142857,1.51944,,,
NV,2.0,3.0,0.4205,5.49692918747e-06,-59.62596231339831,2020-04-19,18.5714285714286,0.588721,,,
NY,3.0,3.0,0.6837,4.403168e-05,-83.46205986873028,2020-04-19,23.71428571428569,2.00144,,,
OH,3.0,3.0,0.3376,0.0,-34.610048859591934,2020-04-19,16.7142857142857,1.35334,,,
OK,3.0,3.0,0.3822,0.0,-18.033970678875534,2020-04-19,13.857142857142902,3.18269,,,
OR,3.0,3.0,0.3929999999999999,3.215079e-05,-44.09968852392532,2020-04-19,15.0,1.53099,,,
PA,3.0,3.0,0.5935,0.0,-59.78568923479048,2020-04-19,19.2857142857143,1.52523,,,
RI,3.0,3.0,0.4621,1.21473360515e-06,-68.01712157379615,2020-04-19,19.5714285714286,0.0751315,0.0,0.0,0.0
SC,3.0,2.0,0.3229,0.0,-28.977483518069185,2020-04-19,14.0,2.39804,,,
SD,1.0,3.0,0.2531,0.0,-19.408764444544783,2020-04-19,14.2857142857143,0.438276,,,
TN,3.0,3.0,0.2859,0.0,-29.301804158964963,2020-04-19,13.5714285714286,1.76292,,,
TX,3.0,3.0,0.5219,0.000100596,-45.664413903233815,2020-04-19,18.0,2.01192,,,
UT,1.0,3.0,0.3528,5.201238e-05,-41.987420523505335,2020-04-19,15.857142857142902,1.40574,,,
VA,1.0,3.0,0.4153,0.0,-51.832500069189706,2020-04-19,18.0,1.94852,,,
VT,3.0,3.0,0.4655,8.997455e-05,-66.99668651384562,2020-04-19,19.0,1.01095,,,
WA,3.0,3.0,0.3468,0.0,-55.94788264752228,2020-04-19,18.1428571428571,1.07493,,,
WI,2.0,3.0,0.5965,4.07524e-05,-38.04648817329042,2020-04-19,17.0,3.1348,,,
WV,1.0,2.0,0.4675,0.0,-26.56908311138132,2020-04-19,12.857142857142902,0.512882,,,
WY,3.0,3.0,0.1737,0.0,-13.893104398079606,2020-04-19,12.857142857142902,1.65996,,,
AK,2.0,3.0,0.4286,3.92312505678e-05,-30.65241328123404,2020-04-26,10.857142857142902,0.776778,,,
AL,3.0,3.0,0.408,0.0,-22.056962308654125,2020-04-26,13.0,1.25794,,,
AR,3.0,3.0,0.4908,0.0,-8.63395098950883,2020-04-26,9.428571428571429,0.399315,,,
AZ,1.0,3.0,0.3669,0.0,-39.43500066341799,2020-04-26,13.857142857142902,1.23996,,,
CA,3.0,3.0,0.6453,0.0,-59.710827573774445,2020-04-26,18.1428571428571,1.25852,,,
CO,3.0,3.0,0.5299,0.0,-52.169663912028426,2020-04-26,15.857142857142902,0.8597530000000001,,,
CT,3.0,3.0,0.5103,0.00010275508,-57.247168523164746,2020-04-26,18.5714285714286,1.65734,,,
DE,2.0,3.0,0.6032,0.0,-51.354101911034114,2020-04-26,17.0,0.0,,,
GA,3.0,3.0,0.4614,4.9845e-05,-45.12379463322526,2020-04-26,15.4285714285714,1.9938,,,
HI,2.0,3.0,0.584,0.0,-78.28474093329794,2020-04-26,18.8571428571429,0.527704,,,
IA,2.0,3.0,0.3797,0.0,-15.171111638237235,2020-04-26,12.5714285714286,0.6352770000000001,,,
ID,3.0,3.0,0.2583,0.00231481,-15.50811700733306,2020-04-26,10.1428571428571,2.31481,,,
IL,1.0,3.0,0.7525,0.00051411944,-53.05857871349647,2020-04-26,17.8571428571429,1.77896,,,
IN,1.0,3.0,0.618,8.9236e-06,-23.585563613237014,2020-04-26,14.7142857142857,0.22309,,,
KS,3.0,3.0,0.4047,0.0004963598099999,-19.166327937752296,2020-04-26,13.0,1.4905700000000002,,,
KY,3.0,3.0,0.3829,0.0,-28.50649945010033,2020-04-26,14.142857142857098,1.06329,,,
LA,3.0,3.0,0.4433,0.0,-36.9042841578594,2020-04-26,14.0,2.86016,,,
MA,3.0,3.0,0.4968,0.00012299568,-76.62563017131887,2020-04-26,21.1428571428571,2.41168,,,
MD,3.0,3.0,0.5933,0.0,-59.86346465879193,2020-04-26,20.5714285714286,3.65316,,,
ME,1.0,3.0,0.3935,0.0,-45.40217336706448,2020-04-26,13.857142857142902,0.625768,,,
MI,3.0,3.0,0.6307,0.0,-56.70055116109769,2020-04-26,19.1428571428571,0.388878,,,
MN,2.0,3.0,0.5088,0.0,-50.25231761340533,2020-04-26,16.1428571428571,1.62215,,,
MO,3.0,3.0,0.3942,3.8571435e-05,-25.5143950064106,2020-04-26,13.142857142857098,0.857143,,,
MS,3.0,3.0,0.2698,0.0,-14.291826425705771,2020-04-26,11.5714285714286,1.6141,,,
MT,3.0,3.0,0.3168,0.0,-18.440521070574647,2020-04-26,9.28571428571428,0.677806,,,
NC,2.0,3.0,0.475,0.0,-41.05490739022166,2020-04-26,14.0,0.971265,,,
ND,3.0,3.0,0.3341,0.0,-25.252078587157023,2020-04-26,13.0,1.14638,,,
NE,1.0,3.0,0.3958,0.0,-10.395419492106898,2020-04-26,13.142857142857098,1.0608,,,
NH,3.0,3.0,0.4397,7.2948355376e-06,-49.0385933565791,2020-04-26,16.8571428571429,0.153374,,,
NJ,3.0,3.0,0.6545,0.0,-79.46282413521718,2020-04-26,22.857142857142897,4.09246,,,
NM,2.0,3.0,0.4892,0.0,-26.77703768126672,2020-04-26,13.857142857142902,1.15901,,,
NV,2.0,3.0,0.439,0.0,-55.897091894533936,2020-04-26,16.571428571428598,0.8286879999999999,,,
NY,3.0,3.0,0.6973,0.0,-80.09199704025146,2020-04-26,21.71428571428569,1.27955,,,
OH,3.0,3.0,0.3343,1.768096e-05,-29.10374357024053,2020-04-26,14.857142857142902,1.10506,,,
OK,3.0,3.0,0.4122,0.0,-7.336086372159126,2020-04-26,11.2857142857143,2.07011,,,
OR,3.0,3.0,0.4479999999999999,2.650336e-05,-41.04927911560529,2020-04-26,13.5714285714286,1.02508,,,
PA,3.0,3.0,0.6416,0.0,-56.56239098896635,2020-04-26,17.7142857142857,1.21806,,,
RI,3.0,3.0,0.494,3.6251823468e-06,-65.09202025747773,2020-04-26,18.1428571428571,0.0762195,0.0,0.0,0.0
SC,3.0,2.0,0.3342,0.0,-22.56277485023909,2020-04-26,12.4285714285714,1.65623,,,
SD,1.0,3.0,0.2828,5.1046625e-05,-11.533229380093356,2020-04-26,12.0,0.224875,,,
TN,3.0,3.0,0.3088,0.0,-26.5676063613934,2020-04-26,12.857142857142902,1.35672,,,
TX,3.0,3.0,0.5507,3.1638390000000005e-05,-39.246913975757664,2020-04-26,15.857142857142902,1.50659,,,
UT,1.0,3.0,0.3696,0.0,-34.780828505078624,2020-04-26,13.0,1.09102,,,
VA,1.0,3.0,0.4301,0.0,-49.98423658232846,2020-04-26,16.8571428571429,1.6507900000000002,,,
VT,3.0,3.0,0.4974,0.0,-58.32082826517263,2020-04-26,16.2857142857143,1.4457799999999998,,,
WA,3.0,3.0,0.379,0.0,-52.99715458860496,2020-04-26,16.428571428571402,0.970077,,,
WI,2.0,3.0,0.6151,6.11096e-05,-36.028315083782374,2020-04-26,15.7142857142857,3.05548,,,
WV,1.0,2.8571428571428568,0.5007,0.0,-21.35251782743649,2020-04-26,12.2857142857143,0.555818,,,
WY,3.0,3.0,0.1834,8.19506735907e-06,-4.983863049076027,2020-04-26,10.2857142857143,0.8252430000000001,,,
AK,2.0,3.0,0.4358,0.0,-18.154477870010886,2020-05-03,10.2857142857143,0.8142689999999999,,,
AL,3.0,3.0,0.4445,0.0,-4.273691067692169,2020-05-03,10.5714285714286,1.05062,,,
AR,3.0,3.0,0.5398,0.0,1.8091738001296849,2020-05-03,8.428571428571429,0.5309729999999999,,,
AZ,1.0,3.0,0.3337,0.0,-33.99238401672189,2020-05-03,13.7142857142857,1.31879,,,
CA,3.0,3.0,0.6437,0.0,-52.2366950521804,2020-05-03,18.0,1.11124,,,
CO,3.0,3.0,0.5259,0.0,-42.89649638077949,2020-05-03,15.2857142857143,0.7156710000000001,,,
CT,3.0,3.0,0.5767,0.0,-46.808624705199065,2020-05-03,17.2857142857143,1.35686,,,
DE,2.0,3.0,0.6266,0.0,-41.076022183403055,2020-05-03,16.0,0.0,,,
GA,3.0,3.0,0.4906,0.0001523502,-32.35537494390464,2020-05-03,13.2857142857143,1.7118,,,
HI,2.0,3.0,0.5911,0.0,-71.92746298006706,2020-05-03,18.5714285714286,0.207285,,,
IA,2.0,3.0,0.3729,0.000173509113,-4.885572212754367,2020-05-03,12.0,0.416089,,,
ID,2.142857142857143,3.0,0.2529,0.0,-4.145491745873158,2020-05-03,9.428571428571429,2.64496,,,
IL,1.0,3.0,0.7614,0.00024940521,-42.13742756290289,2020-05-03,16.428571428571402,1.45851,,,
IN,1.0,3.0,0.6116,0.0,-11.082660244881303,2020-05-03,13.2857142857143,0.409836,,,
KS,3.0,3.0,0.3978,0.0,-6.705547102640876,2020-05-03,11.857142857142902,0.938967,,,
KY,3.0,3.0,0.3879999999999999,0.0,-15.634586621327427,2020-05-03,12.857142857142902,0.7141310000000001,,,
LA,3.0,3.0,0.4923,0.0,-24.71761505255292,2020-05-03,12.142857142857098,2.50599,,,
MA,3.0,3.0,0.5637,0.0,-66.6302830617469,2020-05-03,20.0,1.92216,,,
MD,3.0,3.0,0.6169,0.0,-53.12286904019452,2020-05-03,20.1428571428571,2.81406,,,
ME,1.0,3.0,0.4619,0.0,-34.66293843177899,2020-05-03,13.0,0.589696,,,
MI,3.0,3.0,0.6548,6.753152e-06,-40.76114780083181,2020-05-03,17.0,0.241184,,,
MN,2.0,3.0,0.5017,0.00013705823,-39.946681886595165,2020-05-03,15.142857142857098,1.87751,,,
MO,3.0,3.0,0.3784,5.904048e-06,-13.104541359985832,2020-05-03,11.2857142857143,0.246002,,,
MS,3.0,3.0,0.317,0.0011549226,-0.2959778352111866,2020-05-03,9.571428571428571,1.5586,,,
MT,3.0,3.0,0.3106,0.0,-4.475248142225883,2020-05-03,8.285714285714281,0.563595,,,
NC,2.0,3.0,0.441,0.0,-31.535054254534177,2020-05-03,13.0,0.954463,,,
ND,3.0,3.0,0.3277,0.0,-12.682764273125342,2020-05-03,11.7142857142857,0.864029,,,
NE,1.0,3.0,0.3889,5.0273848209e-05,-2.4480969803779704,2020-05-03,12.7142857142857,1.11332,,,
NH,3.0,3.0,0.508,1.28602026636e-06,-35.63266042094126,2020-05-03,16.0,0.0923361,,,
NJ,3.0,3.0,0.655,6.2329268503e-05,-69.87084961776551,2020-05-03,21.5714285714286,2.69263,,,
NM,2.0,3.0,0.4818,0.0,-18.48052862857502,2020-05-03,13.5714285714286,1.26347,,,
NV,2.0,3.0,0.4318,0.0,-49.67147560437618,2020-05-03,16.428571428571402,0.352361,,,
NY,3.0,3.0,0.7140000000000001,0.0,-70.78264482593734,2020-05-03,20.5714285714286,0.96626,0.0,0.0,0.0
OH,3.0,3.0,0.3557,1.2959445e-05,-17.739063032666905,2020-05-03,13.5714285714286,0.8639629999999999,,,
OK,3.0,3.0,0.4607,0.0,6.164474576782123,2020-05-03,9.571428571428571,1.37555,,,
OR,3.0,3.0,0.4806,0.0,-33.99502554472101,2020-05-03,13.7142857142857,1.03465,,,
PA,3.0,3.0,0.6927,0.0,-46.51994871944237,2020-05-03,16.571428571428598,0.94123,,,
RI,3.0,3.0,0.561,0.0,-49.86961272711586,2020-05-03,17.0,0.0,0.0,0.0,0.0
SC,3.0,2.0,0.3274,0.0,-10.858159225671494,2020-05-03,11.2857142857143,1.36382,,,
SD,1.0,3.0,0.2769,0.0,2.695571238971452,2020-05-03,11.0,0.447168,,,
